,classifier_name,dataset_name,accuracy
0,original-int,bike_total_rents,0.3293895721435547
1,inverted-int,bike_total_rents,0.3267134428024292
2,original-st,bike_total_rents,0.3049330413341522
3,inverted-st,bike_total_rents,0.2927578389644623
4,original-int,bike_registered,0.22149336338043213
5,inverted-int,bike_registered,0.3606339693069458
6,original-st,bike_registered,0.27378708124160767
7,inverted-st,bike_registered,0.29003390669822693
8,original-int,bike_temperature,0.03235495835542679
9,inverted-int,bike_temperature,0.03488869220018387
10,original-st,bike_temperature,0.02908792346715927
11,inverted-st,bike_temperature,0.02904513292014599
12,original-int,AbnormalHeartbeat,1.6377060413360596
13,inverted-int,AbnormalHeartbeat,1.600604772567749
14,original-st,AbnormalHeartbeat,1.5839797258377075
15,inverted-st,AbnormalHeartbeat,1.4548872709274292
16,original-int,CatsDogs,2.7874972820281982
17,inverted-int,CatsDogs,3.1109793186187744
18,original-st,CatsDogs,3.0222880840301514
19,inverted-st,CatsDogs,3.0662992000579834
20,original-int,Cricket,0.007352275773882866
21,inverted-int,Cricket,0.007352275773882866
22,original-st,Cricket,0.007352275773882866
23,inverted-st,Cricket,0.007352275773882866
24,original-int,EOGHorizontalSignal,0.959538996219635
25,inverted-int,EOGHorizontalSignal,0.7736889123916626
26,original-st,EOGHorizontalSignal,0.6652490496635437
27,inverted-st,EOGHorizontalSignal,0.6652490496635437
28,original-int,Mallat,0.039932817220687866
29,inverted-int,Mallat,0.0627623051404953
30,original-st,Mallat,0.152922123670578
31,inverted-st,Mallat,0.14724910259246826
32,original-int,Phoneme,0.0025520825292915106
33,inverted-int,Phoneme,0.0025520825292915106
34,original-st,Phoneme,0.0025520825292915106
35,inverted-st,Phoneme,0.002020356711000204
36,original-int,PigAirwayPressure,0.06085088849067688
37,inverted-int,PigAirwayPressure,0.05891003832221031
38,original-st,PigAirwayPressure,0.060681264847517014
39,inverted-st,PigAirwayPressure,0.058703597635030746
40,original-int,Rock,2.040278673171997
41,inverted-int,Rock,1.6277419328689575
42,original-st,Rock,2.0623855590820312
43,inverted-st,Rock,1.7963870763778687
44,original-int,SNP500,3.149916648864746
45,inverted-int,SNP500,1.352528691291809
46,original-st,SNP500,1.40506911277771
47,inverted-st,SNP500,1.4357510805130005
48,original-int,NASDAQ,1.3270444869995117
49,inverted-int,NASDAQ,1.3134806156158447
50,original-st,NASDAQ,1.304740309715271
51,inverted-st,NASDAQ,1.3056749105453491
52,original-int,DJI,1.3058431148529053
53,inverted-int,DJI,1.305364966392517
54,original-st,DJI,1.3067903518676758
55,inverted-st,DJI,1.3041425943374634
56,original-int,NYSE,0.5968912839889526
57,inverted-int,NYSE,1.0378177165985107
58,original-st,NYSE,0.572791576385498
59,inverted-st,NYSE,0.572791576385498
60,original-int,RUSSELL,1.0125783681869507
61,inverted-int,RUSSELL,0.9905758500099182
62,original-st,RUSSELL,0.9332684874534607
63,inverted-st,RUSSELL,0.9569000601768494
64,original-int,Energy_RH1,0.24519668519496918
65,inverted-int,Energy_RH1,0.24131864309310913
66,original-st,Energy_RH1,0.24095846712589264
67,inverted-st,Energy_RH1,0.22844244539737701
68,original-int,Energy_RH2,0.08159366995096207
69,inverted-int,Energy_RH2,0.08055739849805832
70,original-st,Energy_RH2,0.08521848917007446
71,inverted-st,Energy_RH2,0.08291058242321014
72,original-int,Energy_T4,0.33999934792518616
73,inverted-int,Energy_T4,0.33930811285972595
74,original-st,Energy_T4,0.3402472734451294
75,inverted-st,Energy_T4,0.3403758406639099
76,original-int,Energy_T5,0.2592298984527588
77,inverted-int,Energy_T5,0.20579925179481506
78,original-st,Energy_T5,0.20693451166152954
79,inverted-st,Energy_T5,0.20837508141994476
80,original-int,CloudCoverage,0.5093020796775818
81,inverted-int,CloudCoverage,0.5546948909759521
82,original-st,CloudCoverage,0.44583380222320557
83,inverted-st,CloudCoverage,0.5197638273239136
